gene	P(rec)	rank	class		
CBS	0.847758542	185	recessive		
CBWD1	0.09079712	12434	NA		
CBWD2	0.094122866	12039	NA		
CBWD3	0.098078386	11449	NA		
CBWD5	0.095156477	11878	NA		
CBX2	0.124071785	7155	NA		
CBX3	0.206609952	3409	NA		
CBX4	0.103508462	10571	NA		
CBX5	0.413369372	1274.5	NA		
CBX6	0.090619005	12454	NA		
CBX7	0.123788961	7209	NA		
CBX8	0.175066748	4292	NA		
CBY1	0.131566556	6551	NA		
CC2D1A	0.102529878	10745	recessive		
CC2D2A	0.132057631	6518	NA		
CCAR1	0.159217778	4880	NA		
CCBE1	0.11306548	8482	NA		
CCBL1	0.459524911	1063	NA		
CCBL2	0.152555219	5218	NA		
CCDC101	0.118095035	7840.5	NA		
CCDC102B	0.085395501	12974	NA		
CCDC106	0.105943496	10086	NA		
CCDC107	0.04817398	14073	NA		
CCDC109B	0.087377489	12785	NA		
CCDC11	0.071796729	13740	NA		
CCDC110	0.083272089	13157	NA		
CCDC112	0.09900296	11319	NA		
CCDC113	0.080223766	13371	NA		
CCDC115	0.099434979	11257.5	NA		
CCDC116	0.096404812	11687	NA		
CCDC12	0.101240636	10949	NA		
CCDC120	0.103465138	10576	NA		
CCDC122	0.094280207	12010	NA		
CCDC123	0.074401388	13639	NA		
CCDC126	0.100384339	11077	NA		
CCDC127	0.100500373	11057	NA		
CCDC130	0.094466155	11984	NA		
CCDC134	0.106472022	9989.5	NA		
CCDC135	0.103444126	10581	NA		
CCDC136	0.099825973	11186	NA		
CCDC137	0.090399767	12484	NA		
CCDC14	0.081740807	13280	NA		
CCDC141	0.086888572	12832	NA		
CCDC149	0.098008335	11462	NA		
CCDC155	0.07875557	13449	NA		
CCDC17	0.078316278	13467	NA		
CCDC18	0.09565446	11799	NA		
CCDC19	0.120311568	7588	NA		
CCDC22	0.150357812	5315	NA		
CCDC24	0.085757649	12943	NA		
CCDC25	0.071866655	13736	NA		
CCDC27	0.095090065	11889.5	NA		
CCDC28A	0.07704079	13534	NA		
CCDC28B	0.183452584	4030	NA		
CCDC3	0.110294652	9150.5	NA		
CCDC33	0.087022179	12823	NA		
CCDC34	0.09559575	11807	NA		
CCDC37	0.088362023	12696	NA		
CCDC41	0.105332365	10204	NA		
CCDC42	0.100279306	11093	NA		
CCDC43	0.082575094	13215	NA		
CCDC44	0.239595085	2777	NA		
CCDC45	0.085096908	13001	NA		
CCDC47	0.109926305	9230.5	NA		
CCDC48	0.094700975	11946	NA		
CCDC49	0.104685832	10347	NA		
CCDC5	0.114236799	8336	NA		
CCDC50	0.093055793	12174	NA		
CCDC51	0.10830949	9579	NA		
CCDC56	0.092949585	12194	NA		
CCDC58	0.112629347	8624	NA		
CCDC59	0.095908814	11759	NA		
CCDC6	0.166753312	4592	NA		
CCDC60	0.076033678	13578	NA		
CCDC62	0.146037619	5587	NA		
CCDC64B	0.095842067	11772	NA		
CCDC65	0.093460766	12111	NA		
CCDC67	0.082261151	13236	NA		
CCDC68	0.083823375	13106	NA		
CCDC7	0.072428604	13717	lof-tolerant		
CCDC70	0.077709632	13500	NA		
CCDC75	0.094335491	12001	NA		
CCDC8	0.068338192	13843	NA		
CCDC80	0.14040064	5929	NA		
CCDC83	0.07783883	13494	NA		
CCDC85A	0.094385147	11995	NA		
CCDC85B	0.134780182	6308	NA		
CCDC86	0.094152781	12030	NA		
CCDC87	0.089225218	12606	NA		
CCDC88A	0.134222182	6355	NA		
CCDC88C	0.101775889	10870	NA		
CCDC89	0.08354898	13122	NA		
CCDC90B	0.096987512	11611	NA		
CCDC91	0.084476051	13055	NA		
CCDC92	0.107776632	9703	NA		
CCDC93	0.086014096	12927	NA		
CCDC99	0.08256902	13216	NA		
CCIN	0.105756269	10122	NA		
CCK	0.19392495	3747	NA		
CCKAR	0.10427155	10430	NA		
CCKBR	0.155537076	5081	NA		
CCL11	0.265806381	2419	NA		
CCL13	0.275607052	2297	NA		
CCL17	0.239278159	2781	NA		
CCL18	0.280901305	2232	NA		
CCL19	0.224941832	3045	NA		
CCL2	0.885834805	132	NA		
CCL20	0.206932802	3401	NA		
CCL21	0.59766242	627	NA		
CCL23	0.066518704	13888	NA		
CCL24	0.18806544	3900	NA		
CCL25	0.194329645	3739	NA		
CCL26	0.217284414	3194	NA		
CCL27	0.264025967	2438	NA		
CCL28	0.101634168	10892	NA		
CCL3	0.675629789	448	NA		
CCL3L1	0.168667513	4527	NA		
CCL3L3	0.184226801	4014	NA		
CCL4	0.372322318	1506	NA		
CCL4L2	0.113361036	8436	NA		
CCL5	0.466553234	1034	NA		
CCL7	0.336227913	1766	NA		
CCL8	0.205226222	3443	NA		
CCM2	0.115936103	8123	NA		
CCNA1	0.38561217	1429	NA		
CCNA2	0.521660409	850	NA		
CCNB1	0.101885537	10852	NA		
CCNB1IP1	0.112800425	8520	NA		
CCNB2	0.177156603	4222	NA		
CCNC	0.194446828	3720	NA		
CCND1	0.963334121	48	NA		
CCND2	0.749548778	328	NA		
CCND3	0.467497524	1032	NA		
CCNDBP1	0.108009917	9648	NA		
CCNE1	0.286890891	2153	NA		
CCNE2	0.168472534	4534	NA		
CCNF	0.13128506	6578	NA		
CCNG1	0.21581003	3225	NA		
CCNG2	0.149095102	5370	NA		
CCNH	0.133301683	6417	NA		
CCNI	0.163836739	4691	NA		
CCNK	0.119773919	7649	NA		
CCNL1	0.081913441	13259	NA		
CCNL2	0.106699485	9939	NA		
CCNO	0.194985404	3694	NA		
CCNT1	0.151793442	5255	NA		
CCNT2	0.15417669	5139	NA		
CCNY	0.123788961	7209	NA		
CCNYL1	0.076381022	13560	NA		
CCPG1	0.103034525	10653	NA		
CCR1	0.297094891	2054	NA		
CCR10	0.118854193	7731	NA		
CCR3	0.346924651	1683	NA		
CCR4	0.124212635	7147	NA		
CCR6	0.093782947	12072	NA		
CCR7	0.622061879	572	NA		
CCR8	0.113257439	8443	NA		
CCR9	0.119562481	7666	NA		
CCRK	0.105229955	10219.5	lof-tolerant		
CCRL1	0.086066839	12922	NA		
CCRL2	0.089294805	12601	NA		
CCRN4L	0.172003279	4401	NA		
CCS	0.325748238	1822	NA		
CCT2	0.506226432	889	NA		
CCT3	0.696171528	415	NA		
CCT4	0.512860578	874	NA		
CCT5	0.350263089	1658.5	recessive		
CCT6A	0.437960859	1152	NA		
CCT6B	0.119255778	7693	NA		
CCT7	0.228544094	2993	NA		
CCT8	0.476420919	1007	NA		
CD109	0.124444603	7130	NA		
CD14	0.333187935	1778	NA		
CD151	0.248538472	2642	NA		
CD160	0.089458464	12593	NA		
CD163	0.233645023	2877	NA		
CD163L1	0.076146966	13572	NA		
CD164	0.115446474	8181	NA		
CD180	0.106926201	9887	NA		
CD19	0.517500954	862	NA		
CD1A	0.263672474	2441	NA		
CD1B	0.167413866	4573	NA		
CD1C	0.195577054	3684	NA		
CD1D	0.511737443	877	NA		
CD1E	0.09735509	11555	NA		
CD2	0.264860764	2428	NA		
CD200	0.167342113	4575	NA		
CD200R1	0.094702214	11945	NA		
CD207	0.160445961	4831	NA		
CD209	0.268065854	2384	NA		
CD22	0.282424684	2199	NA		
CD226	0.236079112	2835	NA		
CD24	0.06333196	13952.5	NA		
CD244	0.274737628	2305	NA		
CD248	0.128851625	6782	NA		
CD24L4	0.06333196	13952.5	NA		
CD27	0.432051447	1173	NA		
CD274	0.220119206	3145	NA		
CD276	0.147990113	5458	NA		
CD28	0.540010458	797	NA		
CD2AP	0.379082779	1463	NA		
CD2BP2	0.124781922	7107	NA		
CD300E	0.087335313	12790	NA		
CD300LF	0.100257983	11098	NA		
CD302	0.37130993	1516.5	NA		
CD320	0.190550344	3835	NA		
CD33	0.081194537	13312	NA		
CD34	0.878703992	138	NA		
CD37	0.164151657	4676	NA		
CD38	0.354768039	1624	NA		
CD3D	0.382423331	1450	NA		
CD3E	0.040956737	14097	NA		
CD3EAP	0.122237596	7384	NA		
CD3G	0.206605372	3410	recessive		
CD4	0.983579759	28	NA		
CD40	0.728445304	366	recessive		
CD40LG	0.760785209	306	recessive		
CD44	0.949013573	69	NA		
CD46	0.176591563	4242	NA		
CD47	0.47352519	1019	NA		
CD48	0.372973973	1500	NA		
CD5	0.467049159	1033	NA		
CD52	0.128530215	6807	NA		
CD53	0.218873058	3168	NA		
CD55	0.363922927	1550	NA		
CD58	0.206385694	3416	NA		
CD59	0.206068262	3424	NA		
CD5L	0.253159615	2578	NA		
CD63	0.749551865	327	NA		
CD68	0.806748316	236	NA		
CD69	0.396368194	1356	NA		
CD70	0.214919095	3247	NA		
CD72	0.098902637	11333	NA		
CD74	0.35414624	1633	NA		
CD79B	0.321905528	1846	NA		
CD80	0.634017855	545	NA		
CD81	0.392162344	1373	NA		
CD82	0.419853267	1230	NA		
CD83	0.405806399	1308	NA		
CD84	0.138027915	6079	NA		
CD86	0.623296042	568	NA		
CD8A	0.971985348	42	recessive		
CD8B	0.200789041	3565	NA		
CD8BP	0.088109174	12721	NA		
CD9	0.489934899	948	NA		
CD93	0.287682756	2144	NA		
CD96	0.076256469	13566	recessive		
CD97	0.136870356	6139	NA		
CD99	0.286671387	2155	NA		
CD99L2	0.091209148	12387	NA		
CDA	0.553064768	752	NA		
CDAN1	0.183831899	4023	recessive		
CDC14A	0.1263448	6980	NA		
CDC14B	0.099724761	11206.5	NA		
CDC14C	0.099724761	11206.5	NA		
CDC16	0.151035776	5293	NA		
CDC2	0.82218118	216	NA		
CDC20	0.208383018	3368	NA		
CDC20B	0.081333253	13305	NA		
CDC23	0.140862442	5900	NA		
CDC25A	0.373266148	1497	NA		
CDC25B	0.182643355	4055	NA		
CDC25C	0.420325563	1227	NA		
CDC26	0.100175959	11112	NA		
CDC27	0.153587344	5167	NA		
CDC2L1	0.141350926	5868.5	NA		
CDC2L2	0.141350926	5868.5	NA		
CDC2L5	0.226200168	3028	NA		
CDC2L6	0.084985817	13013	NA		
CDC37	0.220858067	3124	NA		
CDC37L1	0.112971245	8500	NA		
CDC40	0.152804253	5202	NA		
CDC42	0.913818862	108	NA		
CDC42BPA	0.160525498	4828	NA		
CDC42BPB	0.116012038	8114	NA		
CDC42BPG	0.103698707	10530	NA		
CDC42EP1	0.106037467	10067	NA		
CDC42EP2	0.109944535	9226	NA		
CDC42EP3	0.114061954	8353	NA		
CDC42EP4	0.113604907	8408	NA		
CDC42SE1	0.123788961	7209	NA		
CDC42SE2	0.123788961	7209	NA		
CDC45L	0.236297401	2828	NA		
CDC5L	0.159741705	4863	NA		
CDC6	0.174630124	4306	NA		
CDC7	0.19373946	3752	NA		
CDC73	0.155881126	5035.5	NA		
CDCA2	0.104445053	10397	NA		
CDCA3	0.118752942	7743	NA		
CDCA4	0.115988661	8116	NA		
CDCA7	0.100896555	11001	NA		
CDCA7L	0.119066888	7707	NA		
CDCA8	0.101930632	10836	NA		
CDCP1	0.36226291	1562	NA		
CDH1	0.934223348	89	NA		
CDH10	0.111133156	8974	NA		
CDH11	0.242720107	2722	NA		
CDH12	0.125960206	7013	NA		
CDH13	0.403479665	1319	NA		
CDH15	0.122663543	7329	NA		
CDH16	0.128448341	6810	NA		
CDH17	0.148591161	5428	NA		
CDH18	0.123336518	7273	NA		
CDH19	0.095644154	11803	NA		
CDH2	0.268174259	2378	NA		
CDH20	0.097402626	11548	NA		
CDH22	0.106911052	9892	NA		
CDH23	0.203076269	3496	recessive		
CDH24	0.101366593	10928	NA		
CDH26	0.068268868	13847	NA		
CDH3	0.09965908	11217	recessive		
CDH4	0.143183677	5733	NA		
CDH5	0.222342277	3093	NA		
CDH6	0.081710723	13282	NA		
CDH7	0.131947937	6523	NA		
CDH8	0.1229947	7296	NA		
CDH9	0.094296161	12009	NA		
CDIPT	0.361780971	1565	NA		
CDK2	0.86471946	152	NA		
CDK2AP1	0.155881126	5035.5	NA		
CDK2AP2	0.108170811	9621	NA		
CDK3	0.207770266	3385	NA		
CDK4	0.774393871	284	NA		
CDK5	0.565957052	714	NA		
CDK5R1	0.183991618	4021	NA		
CDK5R2	0.111613218	8869	NA		
CDK5RAP1	0.124102009	7154	NA		
CDK5RAP2	0.08467444	13036	recessive		
CDK5RAP3	0.122870846	7307	NA		
CDK6	0.400442993	1334.5	NA		
CDK7	0.487584124	959	NA		
CDK8	0.202974773	3509.5	NA		
CDK9	0.358591262	1590	NA		
CDKAL1	0.246810139	2669	NA		
CDKL2	0.178295121	4172	NA		
CDKL3	0.104386399	10411	NA		
CDKL4	0.086936611	12829	NA		
CDKN1A	0.090809265	12431	NA		
CDKN1B	0.688937663	429	NA		
CDKN2A	0.068468083	13840	NA		
CDKN2AIP	0.098601238	11373	NA		
CDKN2AIPNL	0.099905516	11164	NA		
CDKN2B	0.405902894	1306	NA		
CDKN2C	0.230213311	2947	NA		
CDKN2D	0.180550893	4108	NA		
CDKN3	0.135253576	6272	NA		
CDO1	0.243067603	2718	NA		
CDON	0.177361793	4215	NA		
CDR2	0.225161376	3042	NA		
CDR2L	0.08963388	12572	NA		
CDRT15	0.026992171	14134	NA		
CDS1	0.092640666	12230	NA		
CDS2	0.081522891	13293	NA		
CDT1	0.148610068	5425	NA		
CDV3	0.067584002	13869	NA		
CDX1	0.196422509	3663	NA		
CDX2	0.550780887	762	NA		
CDX4	0.128904551	6779	NA		
CDYL	0.108343077	9567	NA		
CDYL2	0.107167418	9838	NA		
CEACAM4	0.083585422	13118	NA		
CEACAM6	0.068968939	13827	NA		
CEACAM8	0.160573304	4827	NA		
CEBPA	0.107508973	9758	NA		
CEBPB	0.107180114	9835	NA		
CEBPE	0.213172793	3280	NA		
CEBPG	0.165474726	4635	NA		
CEBPZ	0.090352845	12493.5	NA		
CECR1	0.093146777	12160	NA		
CECR2	0.11157008	8878	NA		
CECR5	0.094140678	12032	NA		
CEL	0.367939983	1531	NA		
CELSR2	0.149941654	5327	NA		
CELSR3	0.244900351	2696.5	NA		
CEND1	0.10597147	10079	NA		
CENPA	0.078980741	13436	NA		
CENPB	0.10479163	10318	NA		
CENPC1	0.088766088	12657	NA		
CENPE	0.106759094	9926	NA		
CENPF	0.148477569	5438	NA		
CENPH	0.093142052	12161	NA		
CENPI	0.131249299	6580	NA		
CENPK	0.175091984	4290	NA		
CENPL	0.078054669	13482	NA		
CENPM	0.114516344	8303	NA		
CENPN	0.081064371	13326	NA		
CENPO	0.063951196	13940	NA		
CENPP	0.075475338	13604	NA		
CENPQ	0.104888118	10295	NA		
CENPT	0.065997247	13901	NA		
CENPV	0.155881126	5035.5	NA		
CEP110	0.109781017	9268	NA		
CEP135	0.11694601	7985	NA		
CEP152	0.099986553	11153	NA		
CEP164	0.113413857	8429	NA		
CEP170	0.12994945	6655	NA		
CEP192	0.108522057	9526	NA		
CEP250	0.112369212	8743	NA		
CEP27	0.110885432	9029	NA		
CEP290	0.310689614	1948	recessive		
CEP350	0.100305916	11088	NA		
CEP55	0.092167355	12274	NA		
CEP57	0.136173246	6171	NA		
CEP63	0.107978541	9656	NA		
CEP68	0.095043355	11894	NA		
CEP70	0.106990275	9876	NA		
CEP72	0.11633216	8070	NA		
CEP76	0.145168754	5626	NA		
CEP78	0.111338371	8929	NA		
CEP97	0.098798381	11349	NA		
CEPT1	0.25410714	2569	NA		
CER1	0.157205658	4965	NA		
CERCAM	0.095622016	11805	NA		
CERK	0.157464446	4951	NA		
CERKL	0.097579827	11523	NA		
CES1	0.333440784	1777	NA		
CES2	0.141320209	5872	NA		
CES7	0.136280561	6164	NA		
CETN1	0.105524098	10164	NA		
CETN2	0.167005414	4582	NA		
CETN3	0.135884977	6209	NA		
CETP	0.369623731	1525	NA		
CFC1	0.127976458	6840	recessive		
CFD	0.500202816	916	NA		
CFDP1	0.12239686	7363	NA		
CFHR2	0.092438378	12247	NA		
CFHR4	0.134774346	6310	NA		
CFL1	0.148396606	5441	NA		
CFL2	0.170502808	4452	NA		
CFLAR	0.486542616	966	NA		
CFP	0.268174375	2377	recessive		
CFTR	0.876812976	141	NA		
CGA	0.405256816	1310	NA		
CGB	0.096662353	11658	NA		
CGB1	0.104954893	10281	NA		
CGB5	0.149928215	5328	NA		
CGB7	0.104265477	10433	NA		
CGB8	0.080800502	13348	NA		
CGGBP1	0.11109315	8986	NA		
CGN	0.404740046	1314	NA		
CGNL1	0.116538822	8040	NA		
CGRRF1	0.109998153	9216	NA		
CH25H	0.172103125	4397	NA		
CHAC1	0.130093131	6652	NA		
CHAC2	0.105815966	10113	NA		
CHAD	0.224296329	3059	NA		
CHAF1A	0.112642563	8537	NA		
CHAF1B	0.083184761	13166	NA		
CHAT	0.534827625	809	recessive		
CHCHD1	0.080942051	13337	NA		
CHCHD2	0.100319396	11087	NA		
CHCHD3	0.106741152	9931	NA		
CHCHD4	0.095880245	11763	NA		
CHCHD6	0.079595322	13403	NA		
CHCHD8	0.029343978	14128	NA		
CHCHD9	0.055497988	14030	NA		
CHD1	0.173053689	4362	NA		
CHD1L	0.12748559	6893	NA		
CHD2	0.103776732	10519	NA		
CHD3	0.129285617	6753	NA		
CHD4	0.318165894	1884	NA		
CHD5	0.116413644	8057	NA		
CHD6	0.099552868	11239	NA		
CHD7	0.139651063	5978	NA		
CHD8	0.12031436	7587	NA		
CHD9	0.1489074	5410	NA		
CHDH	0.177427941	4212	NA		
CHEK1	0.526802613	837	NA		
CHEK2	0.655658071	492	NA		
CHERP	0.117406215	7943	NA		
CHFR	0.161191146	4806	NA		
CHGA	0.486719945	964	NA		
CHGB	0.286300881	2160	NA		
CHI3L1	0.348592361	1668	NA		
CHI3L2	0.114790192	8260	NA		
CHIA	0.217488641	3191	NA		
CHIC1	0.105643371	10145	NA		
CHIC2	0.170502808	4452	NA		
CHID1	0.116209631	8086	NA		
CHIT1	0.263700809	2440	NA		
CHKA	0.261069029	2470	NA		
CHKB	0.121166657	7497	NA		
CHL1	0.096643227	11661	NA		
CHM	0.244906327	2695	NA		
CHMP2A	0.129717038	6696	NA		
CHMP2B	0.146166657	5579	NA		
CHMP4A	0.079915818	13391	NA		
CHMP4B	0.109113112	9399	NA		
CHMP4C	0.125700625	7034	NA		
CHMP5	0.112629347	8624	NA		
CHMP6	0.129717038	6696	NA		
CHMP7	0.106640763	9950	NA		
CHN1	0.152842886	5197	NA		
CHODL	0.107215854	9825	NA		
CHORDC1	0.107337387	9794	NA		
CHPF	0.195988717	3676	NA		
CHPT1	0.090155837	12513	NA		
CHRAC1	0.114326661	8323	NA		
CHRD	0.35825825	1593	NA		
CHRDL1	0.379881406	1461	NA		
CHRDL2	0.128002531	6837	NA		
CHRM1	0.531099498	821	NA		
CHRM3	0.104487869	10386	NA		
CHRM5	0.082877207	13189	NA		
CHRNA1	0.380591702	1458	NA		
CHRNA10	0.155590217	5075	NA		
CHRNA2	0.178321096	4169	NA		
CHRNA3	0.252049493	2591	NA		
CHRNA4	0.1085499	9521	NA		
CHRNA5	0.092243262	12266	NA		
CHRNA6	0.148127532	5448	NA		
CHRNA7	0.344570953	1702	NA		
CHRNA9	0.166927893	4585	NA		
CHRNB1	0.145925095	5593	NA		
CHRNB2	0.277533897	2272	NA		
CHRNB3	0.17518519	4284	NA		
CHRNB4	0.137896832	6086	NA		
CHRND	0.172227811	4393	NA		
CHRNE	0.100480028	11062	NA		
CHRNG	0.084974385	13014	recessive		
CHST1	0.148962011	5392	NA		
CHST10	0.119187951	7697	NA		
CHST11	0.148962011	5392	NA		
CHST12	0.115617189	8161	NA		
CHST13	0.112770186	8524	NA		
CHST14	0.107162936	9840	NA		
CHST2	0.143911061	5701	NA		
CHST3	0.138613128	6042	recessive		
CHST4	0.133675077	6401	NA		
CHST5	0.117641599	7915	NA		
CHST6	0.139132608	6012	recessive		
CHST7	0.142377073	5773	NA		
CHST8	0.109581368	9310	NA		
CHST9	0.08972509	12561	NA		
CHSY1	0.113230456	8452	NA		
CHSY3	0.110346639	9141	NA		
CHTF18	0.255486995	2553	NA		
CHUK	0.634054408	544	NA		
CHURC1	0.123788961	7209	NA		
CIAO1	0.147318091	5497	NA		
CIAPIN1	0.11434982	8319	NA		
CIB1	0.270557807	2348	NA		
CIB2	0.135884977	6209	NA		
CIB3	0.109396131	9346	NA		
CIC	0.175630436	4271	NA		
CIDEA	0.188479435	3885	NA		
CIDEB	0.084296861	13067	NA		
CIITA	0.514574251	869	NA		
CILP	0.139166524	6006	NA		
CILP2	0.111295505	8935	NA		
CIRBP	0.119833477	7639	NA		
CIRH1A	0.152165681	5244	NA		
CISD2	0.109868248	9247	NA		
CISH	0.117306685	7949	NA		
CIT	0.370528725	1520	NA		
CITED1	0.149886714	5330	NA		
CITED2	0.372045032	1509	NA		
CIZ1	0.09070505	12442	NA		
CKAP2	0.993041758	15	NA		
CKAP2L	0.074890846	13617	NA		
CKAP4	0.10822619	9597	NA		
CKAP5	0.188255341	3890	NA		
CKB	0.834180385	201	NA		
CKLF	0.095490741	11826.5	NA		
CKM	0.795245774	254	NA		
CKMT1A	0.676146159	446	NA		
CKMT1B	0.665193599	471	NA		
CKMT2	0.615410953	592	NA		
CKS2	0.220858067	3124	NA		
CLASP1	0.146972139	5517	NA		
CLASP2	0.146423378	5561	NA		
CLC	0.087843877	12739	NA		
CLCA1	0.143182281	5734	NA		
CLCA2	0.157168538	4966	NA		
CLCA4	0.122231914	7386	NA		
CLCC1	0.126678712	6957	NA		
CLCF1	0.247609619	2653	recessive		
CLCN2	0.187470259	3907	NA		
CLCN3	0.245279721	2690	NA		
CLCN4	0.18328326	4038	NA		
CLCN5	0.45685856	1072	recessive		
CLCN6	0.196230558	3668	NA		
CLCN7	0.297859974	2045	NA		
CLCNKA	0.192274589	3788	recessive		
CLCNKB	0.300073294	2028	recessive		
CLDN1	0.234944216	2854	recessive		
CLDN10	0.153170493	5179	NA		
CLDN11	0.269244969	2364	NA		
CLDN12	0.123788961	7209	NA		
CLDN14	0.127769339	6866	NA		
CLDN15	0.139886481	5959	NA		
CLDN16	0.19409783	3746	NA		
CLDN17	0.100849783	11011	NA		
CLDN18	0.12758429	6884	NA		
CLDN19	0.142298242	5803	recessive		
CLDN2	0.106599478	9957	NA		
CLDN20	0.109395327	9347	NA		
CLDN22	0.08501128	13009	NA		
CLDN3	0.111425109	8904.5	NA		
CLDN4	0.257136642	2526	NA		
CLDN5	0.286442151	2158	NA		
CLDN6	0.147261426	5501	NA		
CLDN7	0.08685584	12840	NA		
CLDN8	0.128672165	6796	NA		
CLEC10A	0.109804638	9265	NA		
CLEC11A	0.172536791	4383	NA		
CLEC12A	0.12795001	6841.5	NA		
CLEC12B	0.12795001	6841.5	NA		
CLEC16A	0.177839563	4203	NA		
CLEC1A	0.075396744	13605	NA		
CLEC1B	0.098989634	11321	NA		
CLEC2A	0.046439373	14081	NA		
CLEC2B	0.1480237	5456	NA		
CLEC2D	0.086920323	12830	NA		
CLEC3A	0.103984806	10480	NA		
CLEC3B	0.231906782	2917	NA		
CLEC4A	0.080979414	13334	NA		
CLEC4D	0.070665018	13777	NA		
CLEC4F	0.085482322	12966	NA		
CLEC4G	0.107155759	9843	NA		
CLEC5A	0.094818124	11934	NA		
CLEC6A	0.05964274	13994	NA		
CLEC7A	0.147918422	5461	NA		
CLEC9A	0.076533348	13554	NA		
CLGN	0.131308283	6574	NA		
CLIC2	0.139857987	5964	NA		
CLIC3	0.109510848	9323	NA		
CLIC4	0.109390792	9349	NA		
CLIC5	0.094182147	12028	NA		
CLIC6	0.131386748	6567	NA		
CLINT1	0.13728987	6124	NA		
CLIP1	0.322907393	1839	NA		
CLIP3	0.117192826	7962	NA		
CLIP4	0.103313363	10596	NA		
CLK1	0.154001545	5151	NA		
CLK2	0.145259368	5623	NA		
CLK3	0.109457459	9332	NA		
CLK4	0.104008597	10474	NA		
CLMN	0.08725141	12799	NA		
CLN3	0.284499799	2178	recessive		
CLN5	0.165801198	4626	recessive		
CLN6	0.204901328	3454	recessive		
CLNK	0.102845952	10692	NA		
CLNS1A	0.203502829	3481	NA		
CLOCK	0.240556685	2752	NA		
CLP1	0.142298242	5803	NA		
CLPB	0.185626629	3978	NA		
CLPP	0.361746113	1566	NA		
CLPS	0.19714922	3651	NA		
CLPTM1	0.12206815	7404	NA		
CLPTM1L	0.125626402	7041	NA		
CLPX	0.20473381	3460	NA		
CLRN1	0.146716806	5534	recessive		
CLRN2	0.101743618	10877	NA		
CLRN3	0.088439192	12691	NA		
CLSTN1	0.137765285	6094	NA		
CLSTN2	0.264773018	2430	NA		
CLSTN3	0.103309683	10598	NA		
CLTA	0.356164586	1611	NA		
CLTB	0.246134611	2675	NA		
CLTC	0.945713438	77	NA		
CLTCL1	0.765682068	297	NA		
CLU	0.837134284	197	NA		
CLUAP1	0.106946316	9884	NA		
CLUL1	0.088085778	12724	NA		
CLYBL	0.322848094	1840	lof-tolerant		
CMA1	0.626487178	558	NA		
CMAH	0.133888336	6376	lof-tolerant		
CMAS	0.142683893	5756	NA		
CMBL	0.086183323	12914	NA		
CMC1	0.059042924	14000	NA		
CMPK1	0.200072983	3583	NA		
CMPK2	0.111378554	8916	NA		
CMTM1	0.058282039	14009	NA		
CMTM2	0.070512485	13784	NA		
CMTM3	0.11143883	8901	NA		
CMTM4	0.089795581	12552	NA		
CMTM5	0.085928383	12934	NA		
CMTM6	0.09433398	12002	NA		
CMTM8	0.0924232	12249	NA		
CNBP	0.439566359	1141.5	NA		
CNDP1	0.24162508	2739	NA		
CNDP2	0.418014815	1245	NA		
CNGA1	0.132530023	6481	NA		
CNGA2	0.113684314	8399	NA		
CNGA3	0.182593201	4057	recessive		
CNGA4	0.110349459	9139	NA		
CNGB1	0.14143762	5865	NA		
CNIH	0.135884977	6209	NA		
CNIH2	0.112629347	8624	NA		
CNIH3	0.102161616	10807	NA		
CNIH4	0.110236004	9159	NA		
CNKSR1	0.106759086	9927	lof-tolerant		
CNKSR2	0.122869611	7308	NA		
CNKSR3	0.113628084	8404	NA		
CNN1	0.143363058	5724	NA		
CNN2	0.144706031	5660	NA		
CNN3	0.138050165	6077	NA		
CNNM1	0.098443664	11391	NA		
CNNM2	0.121061018	7509	NA		
CNNM3	0.107969653	9657	NA		
CNNM4	0.109472588	9328	NA		
CNO	0.118817531	7735	NA		
CNOT1	0.134856716	6297	NA		
CNOT10	0.112629347	8624	NA		
CNOT2	0.142298242	5803	NA		
CNOT3	0.101552593	10907	NA		
CNOT4	0.133046954	6439	NA		
CNOT6	0.12733123	6904	NA		
CNOT7	0.112629347	8624	NA		
CNOT8	0.155881126	5035.5	NA		
CNP	0.224354745	3057	NA		
CNPY2	0.116716897	8018	NA		
CNPY3	0.114991622	8233	NA		
CNPY4	0.105728308	10127	NA		
CNR1	0.202974773	3509.5	NA		
CNR2	0.452002833	1097	NA		
CNRIP1	0.112629347	8624	NA		
CNTF	0.281283178	2208.5	NA		
CNTFR	0.345372864	1697	NA		
CNTLN	0.179051214	4154	NA		
CNTN1	0.356353484	1610	NA		
CNTN2	0.188213528	3891	lof-tolerant		
CNTN3	0.430199031	1184	NA		
CNTN4	0.104632271	10359	NA		
CNTN5	0.20972634	3346	NA		
CNTN6	0.130848544	6600	NA		
CNTNAP1	0.108432063	9553	NA		
CNTNAP2	0.108744386	9490	NA		
CNTNAP3	0.094319091	12006	NA		
CNTNAP4	0.09803766	11457	NA		
CNTNAP5	0.103186013	10625	NA		
CNTROB	0.104261513	10434	NA		
COASY	0.103514408	10569	NA		
COBL	0.112141256	8769	lof-tolerant		
COBLL1	0.086040641	12926	NA		
COBRA1	0.275047793	2303	NA		
COCH	0.131997161	6521	NA		
COG1	0.13388716	6377	NA		
COG2	0.251085469	2600	NA		
COG3	0.118763339	7742	NA		
COG4	0.113247635	8447	NA		
COG5	0.100210834	11105	NA		
COG6	0.105166747	10235	NA		
COG7	0.101714507	10883	NA		
COG8	0.109815457	9261	NA		
