pathway	source	ensembl_ids
Azathioprine Pathway	SMPDB	ENSG00000143199,ENSG00000159131,ENSG00000061918,ENSG00000076685,ENSG00000196839,ENSG00000112541,ENSG00000187097,ENSG00000244067,ENSG00000106992,ENSG00000138363,ENSG00000239900,ENSG00000198931,ENSG00000152402,ENSG00000134184,ENSG00000116748,ENSG00000138138,ENSG00000125877,ENSG00000198805,ENSG00000243955,ENSG00000112759,ENSG00000172113,ENSG00000197506,ENSG00000128050,ENSG00000138356,ENSG00000164978,ENSG00000128059,ENSG00000137364,ENSG00000137198,ENSG00000125257,ENSG00000106348,ENSG00000114956,ENSG00000165609,ENSG00000156110,ENSG00000165704,ENSG00000035687,ENSG00000171848,ENSG00000229937,ENSG00000113448,ENSG00000188833,ENSG00000178921,ENSG00000143774,ENSG00000174669,ENSG00000158125,ENSG00000119125,ENSG00000114770,ENSG00000136238,ENSG00000167325,ENSG00000137860,ENSG00000163655
Citalopram Pathway	SMPDB	ENSG00000184845,ENSG00000105711,ENSG00000007402,ENSG00000115138,ENSG00000112038,ENSG00000069849,ENSG00000103546,ENSG00000141837,ENSG00000178394,ENSG00000189221,ENSG00000198785,ENSG00000125851,ENSG00000163399,ENSG00000143153,ENSG00000129244,ENSG00000184408,ENSG00000069535,ENSG00000137731,ENSG00000165841,ENSG00000142319,ENSG00000018625,ENSG00000138356,ENSG00000160716,ENSG00000160870,ENSG00000185313,ENSG00000132681,ENSG00000101204,ENSG00000067191,ENSG00000108576,ENSG00000100197,ENSG00000120907,ENSG00000183454,ENSG00000176884,ENSG00000120049,ENSG00000105409
Escitalopram Pathway	SMPDB	ENSG00000184845,ENSG00000105711,ENSG00000007402,ENSG00000115138,ENSG00000112038,ENSG00000069849,ENSG00000103546,ENSG00000141837,ENSG00000178394,ENSG00000132681,ENSG00000198785,ENSG00000125851,ENSG00000163399,ENSG00000143153,ENSG00000129244,ENSG00000184408,ENSG00000142319,ENSG00000137731,ENSG00000018625,ENSG00000160716,ENSG00000185313,ENSG00000101204,ENSG00000067191,ENSG00000108576,ENSG00000120907,ENSG00000183454,ENSG00000176884,ENSG00000120049,ENSG00000105409
Imipramine Pathway	SMPDB	ENSG00000184845,ENSG00000105711,ENSG00000007402,ENSG00000115138,ENSG00000112038,ENSG00000160868,ENSG00000069849,ENSG00000103546,ENSG00000141837,ENSG00000178394,ENSG00000132681,ENSG00000198785,ENSG00000125851,ENSG00000163399,ENSG00000143153,ENSG00000129244,ENSG00000184408,ENSG00000142319,ENSG00000137731,ENSG00000165841,ENSG00000018625,ENSG00000160716,ENSG00000185313,ENSG00000101204,ENSG00000067191,ENSG00000108576,ENSG00000100197,ENSG00000120907,ENSG00000183454,ENSG00000176884,ENSG00000120049,ENSG00000140505,ENSG00000105409
Desipramine Pathway	SMPDB	ENSG00000184845,ENSG00000105711,ENSG00000007402,ENSG00000115138,ENSG00000112038,ENSG00000069849,ENSG00000103546,ENSG00000141837,ENSG00000178394,ENSG00000132681,ENSG00000198785,ENSG00000125851,ENSG00000163399,ENSG00000143153,ENSG00000129244,ENSG00000184408,ENSG00000142319,ENSG00000137731,ENSG00000018625,ENSG00000160716,ENSG00000185313,ENSG00000101204,ENSG00000067191,ENSG00000108576,ENSG00000100197,ENSG00000120907,ENSG00000183454,ENSG00000176884,ENSG00000120049,ENSG00000105409
Bevacizumab Pathway	SMPDB	ENSG00000128052,ENSG00000112715,ENSG00000102755
Vatalanib Pathway	SMPDB	ENSG00000128052
Bile Acid Biosynthesis	SMPDB	ENSG00000107798,ENSG00000099377,ENSG00000133835,ENSG00000083807,ENSG00000198610,ENSG00000136881,ENSG00000167910,ENSG00000138135,ENSG00000242110,ENSG00000180432,ENSG00000036530,ENSG00000122787,ENSG00000172817,ENSG00000168306,ENSG00000135929,ENSG00000146233,ENSG00000116171
Sphingolipid Metabolism	SMPDB	ENSG00000166224,ENSG00000078124,ENSG00000090054,ENSG00000174607,ENSG00000177628,ENSG00000148154,ENSG00000063176,ENSG00000167769,ENSG00000100422,ENSG00000102393,ENSG00000163082,ENSG00000067113,ENSG00000100299,ENSG00000162139,ENSG00000054983,ENSG00000198964,ENSG00000118276,ENSG00000182156,ENSG00000119537,ENSG00000100596,ENSG00000128242,ENSG00000168350
Lysine Degradation	SMPDB	ENSG00000138796,ENSG00000105607,ENSG00000075239,ENSG00000179761,ENSG00000105953,ENSG00000091140,ENSG00000127884,ENSG00000008311,ENSG00000119689,ENSG00000003989,ENSG00000164904,ENSG00000120329,ENSG00000109576
D-Arginine and D-Ornithine Metabolism	SMPDB	ENSG00000110887
Pentose Phosphate Pathway	SMPDB	ENSG00000197713,ENSG00000023697,ENSG00000141959,ENSG00000079739,ENSG00000163931,ENSG00000149925,ENSG00000160211,ENSG00000171174,ENSG00000165140,ENSG00000153574,ENSG00000130313,ENSG00000105220,ENSG00000177156,ENSG00000229937
3-Methylglutaconic Aciduria Type I	SMPDB	ENSG00000198130,ENSG00000146085,ENSG00000075239,ENSG00000083123,ENSG00000127884,ENSG00000060982,ENSG00000072506,ENSG00000117054,ENSG00000137992,ENSG00000128928,ENSG00000134240,ENSG00000111275,ENSG00000175198,ENSG00000124370,ENSG00000196177,ENSG00000248098,ENSG00000138356,ENSG00000131844,ENSG00000167315,ENSG00000091140,ENSG00000183044,ENSG00000117305,ENSG00000083720,ENSG00000122971,ENSG00000119711,ENSG00000078070,ENSG00000114054,ENSG00000106049,ENSG00000151498,ENSG00000148090
Methionine Metabolism	SMPDB	ENSG00000176974,ENSG00000174099,ENSG00000166986,ENSG00000101444,ENSG00000116649,ENSG00000104951,ENSG00000168906,ENSG00000038274,ENSG00000177000,ENSG00000123505,ENSG00000160200,ENSG00000099810,ENSG00000145692,ENSG00000130816,ENSG00000103707,ENSG00000148450,ENSG00000016391,ENSG00000116761,ENSG00000116984
Valine, Leucine and Isoleucine Degradation	SMPDB	ENSG00000198130,ENSG00000146085,ENSG00000075239,ENSG00000083123,ENSG00000127884,ENSG00000060982,ENSG00000072506,ENSG00000117054,ENSG00000137992,ENSG00000128928,ENSG00000134240,ENSG00000111275,ENSG00000175198,ENSG00000124370,ENSG00000196177,ENSG00000248098,ENSG00000138356,ENSG00000131844,ENSG00000167315,ENSG00000091140,ENSG00000183044,ENSG00000117305,ENSG00000083720,ENSG00000122971,ENSG00000119711,ENSG00000078070,ENSG00000114054,ENSG00000106049,ENSG00000151498,ENSG00000148090
Spironolactone Pathway	SMPDB	ENSG00000137731,ENSG00000168447,ENSG00000162572,ENSG00000103064,ENSG00000092068,ENSG00000139209,ENSG00000069849,ENSG00000240583,ENSG00000111319,ENSG00000165272,ENSG00000132681,ENSG00000103257,ENSG00000163399,ENSG00000167580,ENSG00000112499,ENSG00000143153,ENSG00000129244,ENSG00000138079,ENSG00000140199,ENSG00000155465,ENSG00000151623,ENSG00000106688,ENSG00000070915,ENSG00000018625,ENSG00000197901,ENSG00000074803,ENSG00000186510,ENSG00000168003,ENSG00000163817,ENSG00000021488,ENSG00000105409,ENSG00000166828
Eplerenone Pathway	SMPDB	ENSG00000137731,ENSG00000168447,ENSG00000162572,ENSG00000103064,ENSG00000092068,ENSG00000139209,ENSG00000069849,ENSG00000240583,ENSG00000111319,ENSG00000165272,ENSG00000132681,ENSG00000103257,ENSG00000163399,ENSG00000167580,ENSG00000112499,ENSG00000143153,ENSG00000129244,ENSG00000138079,ENSG00000140199,ENSG00000155465,ENSG00000151623,ENSG00000106688,ENSG00000070915,ENSG00000018625,ENSG00000197901,ENSG00000074803,ENSG00000186510,ENSG00000168003,ENSG00000163817,ENSG00000021488,ENSG00000105409,ENSG00000166828
2-Hydroxyglutric Aciduria (D And L Form)	SMPDB	ENSG00000159423,ENSG00000135423,ENSG00000087299,ENSG00000128683,ENSG00000183044,ENSG00000135821,ENSG00000112294,ENSG00000148672,ENSG00000103356
2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	SMPDB	ENSG00000198130,ENSG00000146085,ENSG00000075239,ENSG00000083123,ENSG00000127884,ENSG00000060982,ENSG00000072506,ENSG00000117054,ENSG00000137992,ENSG00000128928,ENSG00000134240,ENSG00000111275,ENSG00000175198,ENSG00000124370,ENSG00000196177,ENSG00000248098,ENSG00000138356,ENSG00000131844,ENSG00000167315,ENSG00000091140,ENSG00000183044,ENSG00000117305,ENSG00000083720,ENSG00000122971,ENSG00000119711,ENSG00000078070,ENSG00000114054,ENSG00000106049,ENSG00000151498,ENSG00000148090
Steroidogenesis	SMPDB	ENSG00000160882,ENSG00000179142,ENSG00000198610,ENSG00000140459,ENSG00000117594,ENSG00000122787,ENSG00000148795,ENSG00000231852,ENSG00000203857
Atorvastatin Pathway	SMPDB	ENSG00000160285,ENSG00000079459,ENSG00000113161,ENSG00000149809,ENSG00000107798,ENSG00000067064,ENSG00000147155,ENSG00000116133,ENSG00000001630,ENSG00000110921,ENSG00000147383,ENSG00000160752,ENSG00000104549,ENSG00000167508,ENSG00000132196,ENSG00000112972,ENSG00000052802,ENSG00000057252,ENSG00000152904,ENSG00000109929,ENSG00000163344,ENSG00000120437
Triamterene Pathway	SMPDB	ENSG00000151623,ENSG00000168447,ENSG00000162572,ENSG00000103064,ENSG00000092068,ENSG00000139209,ENSG00000069849,ENSG00000240583,ENSG00000111319,ENSG00000165272,ENSG00000132681,ENSG00000103257,ENSG00000163399,ENSG00000167580,ENSG00000112499,ENSG00000143153,ENSG00000129244,ENSG00000138079,ENSG00000140199,ENSG00000155465,ENSG00000137731,ENSG00000106688,ENSG00000070915,ENSG00000018625,ENSG00000197901,ENSG00000074803,ENSG00000186510,ENSG00000168003,ENSG00000163817,ENSG00000021488,ENSG00000105409,ENSG00000166828
Amiloride Pathway	SMPDB	ENSG00000151623,ENSG00000168447,ENSG00000162572,ENSG00000103064,ENSG00000092068,ENSG00000139209,ENSG00000069849,ENSG00000240583,ENSG00000111319,ENSG00000165272,ENSG00000132681,ENSG00000103257,ENSG00000163399,ENSG00000167580,ENSG00000112499,ENSG00000143153,ENSG00000129244,ENSG00000138079,ENSG00000140199,ENSG00000155465,ENSG00000137731,ENSG00000106688,ENSG00000070915,ENSG00000018625,ENSG00000197901,ENSG00000074803,ENSG00000186510,ENSG00000168003,ENSG00000163817,ENSG00000021488,ENSG00000105409,ENSG00000166828
Glycolysis	SMPDB	ENSG00000152782,ENSG00000163581,ENSG00000159399,ENSG00000149925,ENSG00000111640,ENSG00000131482,ENSG00000143891,ENSG00000152556,ENSG00000143627,ENSG00000164708,ENSG00000074800,ENSG00000111669,ENSG00000172331,ENSG00000171314,ENSG00000105220
Sulfate/Sulfite Metabolism	SMPDB	ENSG00000139531,ENSG00000162813,ENSG00000109193,ENSG00000196502,ENSG00000088002,ENSG00000198682,ENSG00000171310
Hyperlysinemia I, Familial	SMPDB	ENSG00000138796,ENSG00000105607,ENSG00000075239,ENSG00000179761,ENSG00000105953,ENSG00000091140,ENSG00000127884,ENSG00000008311,ENSG00000119689,ENSG00000003989,ENSG00000164904,ENSG00000120329,ENSG00000109576
Galactose Metabolism	SMPDB	ENSG00000115850,ENSG00000085662,ENSG00000102393,ENSG00000079739,ENSG00000106633,ENSG00000171298,ENSG00000156515,ENSG00000131482,ENSG00000213930,ENSG00000086062,ENSG00000169764,ENSG00000108479,ENSG00000117308
Sterols are 12-hydroxylated by CYP8B1	PID	ENSG00000180432
Histidine Metabolism	SMPDB	ENSG00000185238,ENSG00000189221,ENSG00000002726,ENSG00000150540,ENSG00000160282,ENSG00000084110,ENSG00000170445,ENSG00000108602,ENSG00000112855,ENSG00000111275,ENSG00000139344,ENSG00000150656,ENSG00000140287,ENSG00000172508,ENSG00000159650
Amino Sugar Metabolism	SMPDB	ENSG00000102032,ENSG00000013375,ENSG00000170191,ENSG00000124357,ENSG00000113552,ENSG00000111726,ENSG00000156515,ENSG00000095380,ENSG00000100522,ENSG00000213614,ENSG00000159921,ENSG00000133063,ENSG00000198380,ENSG00000135838,ENSG00000162066,ENSG00000117143
Pyrimidine Metabolism	SMPDB	ENSG00000171302,ENSG00000198276,ENSG00000076685,ENSG00000171793,ENSG00000129187,ENSG00000048392,ENSG00000100024,ENSG00000134326,ENSG00000125877,ENSG00000172113,ENSG00000007001,ENSG00000176890,ENSG00000102967,ENSG00000147647,ENSG00000128951,ENSG00000158825,ENSG00000025708,ENSG00000084774,ENSG00000188641,ENSG00000171848,ENSG00000167900,ENSG00000119125,ENSG00000147853
Nicotinate and Nicotinamide Metabolism	SMPDB	ENSG00000172890,ENSG00000106733,ENSG00000112874,ENSG00000138356,ENSG00000198805,ENSG00000109743,ENSG00000197594,ENSG00000076685,ENSG00000105835,ENSG00000112992,ENSG00000103485,ENSG00000008130,ENSG00000166741,ENSG00000157064
Eptifibatide Pathway	SMPDB	ENSG00000259207,ENSG00000005961
Tirofiban Pathway	SMPDB	ENSG00000259207,ENSG00000005961
Quinapril Pathway	SMPDB	ENSG00000159640
Ramipril Pathway	SMPDB	ENSG00000159640
Fosinopril Pathway	SMPDB	ENSG00000159640
Moexipril Pathway	SMPDB	ENSG00000159640
Cilazapril Pathway	SMPDB	ENSG00000159640
Enalapril Pathway	SMPDB	ENSG00000159640
Ibuprofen Pathway	SMPDB	ENSG00000089248,ENSG00000165841,ENSG00000128228,ENSG00000044574,ENSG00000241635,ENSG00000149428,ENSG00000090520,ENSG00000242515,ENSG00000185615,ENSG00000243135,ENSG00000138115,ENSG00000171234,ENSG00000095303,ENSG00000143870,ENSG00000073756,ENSG00000156096,ENSG00000241119,ENSG00000160868,ENSG00000155660,ENSG00000138109,ENSG00000166794
Benazepril Pathway	SMPDB	ENSG00000159640
Pantoprazole Pathway	SMPDB	ENSG00000105675,ENSG00000186009
Lansoprazole Pathway	SMPDB	ENSG00000105675,ENSG00000186009
Cimetidine Pathway	SMPDB	ENSG00000113749
Rabeprazole Pathway	SMPDB	ENSG00000105675,ENSG00000186009
Ticlopidine Pathway	SMPDB	ENSG00000169313
Clopidogrel Pathway	SMPDB	ENSG00000165841,ENSG00000005421,ENSG00000085563,ENSG00000169313,ENSG00000160868,ENSG00000106258,ENSG00000197408,ENSG00000140505,ENSG00000138109
Spirapril Pathway	SMPDB	ENSG00000159640
Trandolapril Pathway	SMPDB	ENSG00000159640
Warfarin Pathway	SMPDB	ENSG00000167397
Acenocoumarol Pathway	SMPDB	ENSG00000122194,ENSG00000185010,ENSG00000171564,ENSG00000143278,ENSG00000104368,ENSG00000171560,ENSG00000198734,ENSG00000131187,ENSG00000171557,ENSG00000126218,ENSG00000088926,ENSG00000164344,ENSG00000167397,ENSG00000057593,ENSG00000101981,ENSG00000115486,ENSG00000108821,ENSG00000117525,ENSG00000180210,ENSG00000124491
Congenital Bile Acid Synthesis Defect Type II	SMPDB	ENSG00000107798,ENSG00000099377,ENSG00000133835,ENSG00000083807,ENSG00000198610,ENSG00000136881,ENSG00000167910,ENSG00000138135,ENSG00000242110,ENSG00000180432,ENSG00000036530,ENSG00000122787,ENSG00000172817,ENSG00000168306,ENSG00000135929,ENSG00000146233,ENSG00000116171
Cerebrotendinous Xanthomatosis (CTX)	SMPDB	ENSG00000107798,ENSG00000099377,ENSG00000133835,ENSG00000083807,ENSG00000198610,ENSG00000136881,ENSG00000167910,ENSG00000138135,ENSG00000242110,ENSG00000180432,ENSG00000036530,ENSG00000122787,ENSG00000172817,ENSG00000168306,ENSG00000135929,ENSG00000146233,ENSG00000116171
Zellweger Syndrome	SMPDB	ENSG00000107798,ENSG00000099377,ENSG00000133835,ENSG00000083807,ENSG00000198610,ENSG00000136881,ENSG00000167910,ENSG00000138135,ENSG00000242110,ENSG00000180432,ENSG00000036530,ENSG00000122787,ENSG00000172817,ENSG00000168306,ENSG00000135929,ENSG00000146233,ENSG00000116171
Capecitabine Pathway	SMPDB	ENSG00000198848,ENSG00000025708,ENSG00000176890,ENSG00000158825
Corticotropin Activation of Cortisol Production	SMPDB	ENSG00000172380,ENSG00000185231,ENSG00000078369,ENSG00000115138,ENSG00000142875,ENSG00000078295,ENSG00000087460
Excitatory Neural Signalling Through 5-HTR 7 and  Serotonin 	SMPDB	ENSG00000118260,ENSG00000078369,ENSG00000172380,ENSG00000164270,ENSG00000142875,ENSG00000078295,ENSG00000172531,ENSG00000087460
Excitatory Neural Signalling Through 5-HTR 6 and Serotonin 	SMPDB	ENSG00000185231,ENSG00000078369,ENSG00000172380,ENSG00000164270,ENSG00000142875,ENSG00000078295,ENSG00000172531,ENSG00000087460,ENSG00000118260
Lactic Acidemia	SMPDB	ENSG00000090861,ENSG00000167701,ENSG00000124608,ENSG00000172482,ENSG00000173599
Inositol Phosphate Metabolism	SMPDB	ENSG00000107789,ENSG00000133731,ENSG00000137825,ENSG00000176095,ENSG00000151689,ENSG00000272325,ENSG00000105655,ENSG00000168781,ENSG00000151151,ENSG00000127080,ENSG00000040933,ENSG00000100605,ENSG00000112664,ENSG00000185133,ENSG00000109452
Phosphatidylinositol Phosphate Metabolism	SMPDB	ENSG00000011405,ENSG00000078142,ENSG00000103502,ENSG00000168918,ENSG00000148384,ENSG00000196455,ENSG00000159082,ENSG00000126581,ENSG00000171608,ENSG00000141736,ENSG00000115020,ENSG00000112367,ENSG00000143398,ENSG00000150867,ENSG00000121879,ENSG00000103043,ENSG00000145675,ENSG00000182621,ENSG00000109452,ENSG00000241973,ENSG00000171862,ENSG00000110497
Glibenclamide Pathway	SMPDB	ENSG00000141837,ENSG00000006071,ENSG00000163581,ENSG00000007402,ENSG00000254647,ENSG00000067191
Gliclazide Pathway	SMPDB	ENSG00000141837,ENSG00000006071,ENSG00000163581,ENSG00000007402,ENSG00000254647,ENSG00000067191
Transfer of Acetyl Groups into Mitochondria	SMPDB	ENSG00000065833,ENSG00000108528,ENSG00000062485,ENSG00000131473,ENSG00000014641,ENSG00000173599,ENSG00000060762,ENSG00000131828,ENSG00000168291
Trehalose Degradation	SMPDB	ENSG00000137731,ENSG00000132681,ENSG00000163581,ENSG00000018625,ENSG00000163399,ENSG00000100170,ENSG00000129244,ENSG00000143153,ENSG00000118094,ENSG00000106633,ENSG00000069849,ENSG00000105409
Vitamin K Metabolism	SMPDB	ENSG00000181019,ENSG00000167397
Carnitine Synthesis	SMPDB	ENSG00000176974,ENSG00000185973,ENSG00000129151,ENSG00000143149,ENSG00000145391
Gamma-glutamyl-transpeptidase deficiency	SMPDB	ENSG00000178814,ENSG00000100031,ENSG00000006625,ENSG00000148834,ENSG00000001084,ENSG00000166825,ENSG00000233276,ENSG00000104687,ENSG00000023909,ENSG00000100983
5-oxoprolinase deficiency	SMPDB	ENSG00000178814,ENSG00000100031,ENSG00000006625,ENSG00000148834,ENSG00000001084,ENSG00000166825,ENSG00000233276,ENSG00000104687,ENSG00000023909,ENSG00000100983
Hypophosphatasia	SMPDB	ENSG00000138356,ENSG00000160209,ENSG00000241360,ENSG00000108439,ENSG00000162551
Malonyl-coa decarboxylase deficiency	SMPDB	ENSG00000198130,ENSG00000154930,ENSG00000132142,ENSG00000146085,ENSG00000075239,ENSG00000124370,ENSG00000127884,ENSG00000183044,ENSG00000111058,ENSG00000117054,ENSG00000114054,ENSG00000103150,ENSG00000175198,ENSG00000119711
Hyperornithinemia with gyrate atrophy (HOGA)	SMPDB	ENSG00000159423,ENSG00000146282,ENSG00000102743,ENSG00000143811,ENSG00000118520,ENSG00000100033,ENSG00000171766,ENSG00000065154,ENSG00000130707,ENSG00000149380,ENSG00000126522,ENSG00000130005,ENSG00000136628,ENSG00000148672,ENSG00000036473,ENSG00000021826,ENSG00000166165
Creatine deficiency, guanidinoacetate methyltransferase deficiency	SMPDB	ENSG00000159423,ENSG00000146282,ENSG00000102743,ENSG00000143811,ENSG00000118520,ENSG00000100033,ENSG00000171766,ENSG00000065154,ENSG00000130707,ENSG00000149380,ENSG00000126522,ENSG00000130005,ENSG00000136628,ENSG00000148672,ENSG00000036473,ENSG00000021826,ENSG00000166165
L-arginine:glycine amidinotransferase deficiency	SMPDB	ENSG00000159423,ENSG00000146282,ENSG00000102743,ENSG00000143811,ENSG00000118520,ENSG00000100033,ENSG00000171766,ENSG00000065154,ENSG00000130707,ENSG00000149380,ENSG00000126522,ENSG00000130005,ENSG00000136628,ENSG00000148672,ENSG00000036473,ENSG00000021826,ENSG00000166165
Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]	SMPDB	ENSG00000159423,ENSG00000146282,ENSG00000102743,ENSG00000143811,ENSG00000118520,ENSG00000100033,ENSG00000171766,ENSG00000065154,ENSG00000130707,ENSG00000149380,ENSG00000126522,ENSG00000130005,ENSG00000136628,ENSG00000148672,ENSG00000036473,ENSG00000021826,ENSG00000166165
Hyper-IgD syndrome	SMPDB	ENSG00000160285,ENSG00000079459,ENSG00000113161,ENSG00000149809,ENSG00000107798,ENSG00000067064,ENSG00000147155,ENSG00000116133,ENSG00000001630,ENSG00000110921,ENSG00000147383,ENSG00000160752,ENSG00000104549,ENSG00000167508,ENSG00000132196,ENSG00000112972,ENSG00000052802,ENSG00000057252,ENSG00000152904,ENSG00000109929,ENSG00000163344,ENSG00000120437
Cholesteryl ester storage disease	SMPDB	ENSG00000160285,ENSG00000079459,ENSG00000113161,ENSG00000149809,ENSG00000107798,ENSG00000067064,ENSG00000147155,ENSG00000116133,ENSG00000001630,ENSG00000110921,ENSG00000147383,ENSG00000160752,ENSG00000104549,ENSG00000167508,ENSG00000132196,ENSG00000112972,ENSG00000052802,ENSG00000057252,ENSG00000152904,ENSG00000109929,ENSG00000163344,ENSG00000120437
Degradation of Superoxides	SMPDB	ENSG00000142168,ENSG00000107165,ENSG00000112096,ENSG00000121691,ENSG00000109610
Familial lipoprotein lipase deficiency	SMPDB	ENSG00000115159,ENSG00000167588,ENSG00000085662,ENSG00000108602,ENSG00000119927,ENSG00000198814,ENSG00000175445,ENSG00000065357,ENSG00000166035,ENSG00000141934,ENSG00000168237,ENSG00000204310
Familial Hypercholanemia (FHCA)	SMPDB	ENSG00000107798,ENSG00000099377,ENSG00000133835,ENSG00000083807,ENSG00000198610,ENSG00000136881,ENSG00000167910,ENSG00000138135,ENSG00000242110,ENSG00000180432,ENSG00000036530,ENSG00000122787,ENSG00000172817,ENSG00000168306,ENSG00000135929,ENSG00000146233,ENSG00000116171
Glycogenosis, Type VII. Tarui disease	SMPDB	ENSG00000152782,ENSG00000163581,ENSG00000159399,ENSG00000149925,ENSG00000111640,ENSG00000131482,ENSG00000143891,ENSG00000152556,ENSG00000143627,ENSG00000164708,ENSG00000074800,ENSG00000111669,ENSG00000172331,ENSG00000171314,ENSG00000105220
Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)	SMPDB	ENSG00000159423,ENSG00000146282,ENSG00000102743,ENSG00000143811,ENSG00000118520,ENSG00000100033,ENSG00000171766,ENSG00000065154,ENSG00000130707,ENSG00000149380,ENSG00000126522,ENSG00000130005,ENSG00000136628,ENSG00000148672,ENSG00000036473,ENSG00000021826,ENSG00000166165
Pantoprazole Pathway	SMPDB	ENSG00000110148,ENSG00000157005,ENSG00000184502,ENSG00000186009,ENSG00000105675,ENSG00000133019,ENSG00000132671,ENSG00000155962,ENSG00000113749,ENSG00000091138,ENSG00000133742
Rabeprazole Pathway	SMPDB	ENSG00000110148,ENSG00000157005,ENSG00000184502,ENSG00000186009,ENSG00000105675,ENSG00000133019,ENSG00000132671,ENSG00000155962,ENSG00000113749,ENSG00000091138,ENSG00000133742
Xanthine Dehydrogenase Deficiency (Xanthinuria)	SMPDB	ENSG00000159131,ENSG00000061918,ENSG00000114956,ENSG00000112541,ENSG00000116748,ENSG00000106992,ENSG00000138363,ENSG00000198931,ENSG00000152402,ENSG00000125877,ENSG00000198805,ENSG00000172113,ENSG00000128050,ENSG00000106348,ENSG00000143199,ENSG00000128059,ENSG00000196839,ENSG00000137198,ENSG00000138138,ENSG00000187097,ENSG00000076685,ENSG00000165609,ENSG00000165704,ENSG00000035687,ENSG00000239900,ENSG00000229937,ENSG00000113448,ENSG00000188833,ENSG00000178921,ENSG00000158125,ENSG00000119125,ENSG00000143774,ENSG00000164978,ENSG00000163655,ENSG00000171848,ENSG00000167325
Methionine Adenosyltransferase Deficiency	SMPDB	ENSG00000176974,ENSG00000174099,ENSG00000166986,ENSG00000101444,ENSG00000116649,ENSG00000104951,ENSG00000168906,ENSG00000038274,ENSG00000177000,ENSG00000123505,ENSG00000160200,ENSG00000099810,ENSG00000145692,ENSG00000130816,ENSG00000103707,ENSG00000148450,ENSG00000016391,ENSG00000116761,ENSG00000116984
Glycine N-methyltransferase Deficiency	SMPDB	ENSG00000176974,ENSG00000174099,ENSG00000166986,ENSG00000101444,ENSG00000116649,ENSG00000104951,ENSG00000168906,ENSG00000038274,ENSG00000177000,ENSG00000123505,ENSG00000160200,ENSG00000099810,ENSG00000145692,ENSG00000130816,ENSG00000103707,ENSG00000148450,ENSG00000016391,ENSG00000116761,ENSG00000116984
Non Ketotic Hyperglycinemia	SMPDB	ENSG00000176974,ENSG00000124713,ENSG00000171766,ENSG00000132837,ENSG00000178445,ENSG00000116761,ENSG00000145020,ENSG00000189221,ENSG00000111275,ENSG00000146733,ENSG00000167720,ENSG00000092621,ENSG00000135069,ENSG00000123453,ENSG00000182199,ENSG00000091140,ENSG00000031698,ENSG00000145692,ENSG00000106105,ENSG00000023330,ENSG00000160200,ENSG00000130005,ENSG00000172482,ENSG00000100116,ENSG00000168237,ENSG00000135094
Esomeprazole Pathway	SMPDB	ENSG00000110148,ENSG00000157005,ENSG00000184502,ENSG00000186009,ENSG00000105675,ENSG00000133019,ENSG00000132671,ENSG00000155962,ENSG00000113749,ENSG00000091138,ENSG00000133742
Omeprazole Pathway	SMPDB	ENSG00000110148,ENSG00000157005,ENSG00000184502,ENSG00000186009,ENSG00000105675,ENSG00000133019,ENSG00000132671,ENSG00000155962,ENSG00000113749,ENSG00000091138,ENSG00000133742
Lansoprazole Pathway	SMPDB	ENSG00000110148,ENSG00000157005,ENSG00000184502,ENSG00000186009,ENSG00000105675,ENSG00000133019,ENSG00000132671,ENSG00000155962,ENSG00000113749,ENSG00000091138,ENSG00000133742
Mexiletine Pathway	SMPDB	ENSG00000175548,ENSG00000105048,ENSG00000072062,ENSG00000006071,ENSG00000108946,ENSG00000007402,ENSG00000198626,ENSG00000120457,ENSG00000159173,ENSG00000130598,ENSG00000143933,ENSG00000101400,ENSG00000130037,ENSG00000160014,ENSG00000069849,ENSG00000114854,ENSG00000187486,ENSG00000198668,ENSG00000132681,ENSG00000181072,ENSG00000163399,ENSG00000069431,ENSG00000130595,ENSG00000143153,ENSG00000168135,ENSG00000138622,ENSG00000198467,ENSG00000121361,ENSG00000151067,ENSG00000135750,ENSG00000171385,ENSG00000053918,ENSG00000137731,ENSG00000183023,ENSG00000129244,ENSG00000174437,ENSG00000018625,ENSG00000075711,ENSG00000123700,ENSG00000006283,ENSG00000055118,ENSG00000144891,ENSG00000129991,ENSG00000043591,ENSG00000182621,ENSG00000150995,ENSG00000067191,ENSG00000159197,ENSG00000168807,ENSG00000180509,ENSG00000101470,ENSG00000162989,ENSG00000172164,ENSG00000140416,ENSG00000120049,ENSG00000065534,ENSG00000183873,ENSG00000105409,ENSG00000198523,ENSG00000118194,ENSG00000196557
